,str,dex,con,int,wis,cha,ac,hp,perception,fortitude,reflex,will,focus,book,level
1385,9.0,6.0,5.0,6.0,5.0,0.0,40.0,300,30.0,32.0,29.0,28.0,1,Pathfinder Kingmaker,17
1384,10.0,2.0,8.0,-4.0,0.0,-1.0,43.0,325,30.0,38.0,32.0,30.0,1,Pathfinder Kingmaker,19
1359,10.0,6.0,7.0,2.0,7.0,6.0,47.0,430,36.0,38.0,33.0,36.0,1,Pathfinder Kingmaker,21
1360,1.0,2.0,1.0,0.0,4.0,3.0,20.0,65,12.0,9.0,12.0,14.0,1,Pathfinder Kingmaker,4
1362,1.0,7.0,3.0,2.0,5.0,2.0,32.0,180,22.0,18.0,24.0,22.0,0,Pathfinder Kingmaker,11
1365,4.0,2.0,3.0,0.0,1.0,0.0,17.0,36,7.0,9.0,8.0,7.0,0,Pathfinder Kingmaker,2
1367,3.0,1.0,2.0,0.0,2.0,0.0,13.0,20,6.0,8.0,5.0,6.0,0,Pathfinder Kingmaker,1
1368,4.0,2.0,0.0,0.0,4.0,2.0,21.0,85,13.0,9.0,13.0,15.0,1,Pathfinder Kingmaker,5
1369,5.0,8.0,6.0,-1.0,6.0,0.0,42.0,230,30.0,30.0,34.0,28.0,0,Pathfinder Kingmaker,18
1370,6.0,8.0,4.0,8.0,6.0,4.0,37.0,210,29.0,23.0,29.0,27.0,1,Pathfinder Kingmaker,15
1371,2.0,3.0,1.0,0.0,1.0,4.0,21.0,78,11.0,11.0,13.0,11.0,0,Pathfinder Kingmaker,5
1372,10.0,6.0,6.0,0.0,6.0,4.0,43.0,295,30.0,33.0,35.0,31.0,0,Pathfinder Kingmaker,19
1373,0.0,6.0,4.0,-4.0,6.0,0.0,27.0,150,19.0,7.0,12.0,9.0,0,Pathfinder Kingmaker,9
1374,4.0,5.0,4.0,2.0,4.0,7.0,33.0,215,22.0,19.0,24.0,23.0,1,Pathfinder Kingmaker,12
1375,10.0,6.0,6.0,5.0,8.0,5.0,46.0,380,38.0,34.0,34.0,38.0,0,Pathfinder Kingmaker,20
1376,3.0,2.0,2.0,0.0,4.0,3.0,26.0,80,19.0,17.0,15.0,19.0,1,Pathfinder Kingmaker,9
1377,10.0,6.0,8.0,9.0,6.0,9.0,43.0,445,33.0,35.0,31.0,33.0,1,Pathfinder Kingmaker,19
1378,1.0,4.0,1.0,1.0,0.0,2.0,16.0,20,5.0,6.0,9.0,5.0,0,Pathfinder Kingmaker,1
1381,4.0,2.0,3.0,0.0,1.0,2.0,23.0,105,13.0,15.0,14.0,11.0,0,Pathfinder Kingmaker,6
1382,1.0,0.0,2.0,0.0,5.0,4.0,17.0,75,14.0,10.0,6.0,15.0,0,Pathfinder Kingmaker,5
1383,9.0,-1.0,9.0,-5.0,0.0,-5.0,42.0,255,26.0,33.0,27.0,29.0,0,Pathfinder Kingmaker,18
1415,2.0,2.0,4.0,1.0,5.0,2.0,31.0,250,23.0,22.0,20.0,25.0,0,Pathfinder Kingmaker,12
1358,5.0,6.0,5.0,9.0,5.0,6.0,42.0,240,31.0,27.0,30.0,33.0,1,Pathfinder Kingmaker,18
1416,4.0,4.0,1.0,-1.0,2.0,1.0,28.0,99,18.0,18.0,16.0,16.0,0,Pathfinder Kingmaker,8
1421,2.0,3.0,2.0,0.0,0.0,0.0,15.0,16,4.0,6.0,7.0,4.0,0,Pathfinder Kingmaker,0
1454,9.0,5.0,6.0,0.0,6.0,0.0,41.0,400,30.0,17.0,8.0,9.0,0,Pathfinder Kingmaker,18
1457,8.0,4.0,8.0,0.0,6.0,4.0,35.0,340,27.0,29.0,23.0,27.0,0,Pathfinder Kingmaker,15
1458,7.0,5.0,5.0,3.0,5.0,5.0,31.0,220,22.0,22.0,20.0,22.0,1,Pathfinder Kingmaker,11
1462,-2.0,5.0,7.0,-5.0,5.0,-4.0,32.0,155,23.0,25.0,23.0,19.0,0,Pathfinder Kingmaker,12
1463,10.0,7.0,6.0,6.0,6.0,8.0,44.0,375,35.0,31.0,36.0,33.0,0,Pathfinder Kingmaker,19
1464,5.0,2.0,4.0,0.0,4.0,3.0,35.0,350,27.0,27.0,23.0,27.0,0,Pathfinder Kingmaker,15
1465,4.0,4.0,3.0,3.0,6.0,4.0,26.0,135,18.0,13.0,16.0,18.0,0,Pathfinder Kingmaker,8
1467,4.0,2.0,2.0,0.0,0.0,2.0,18.0,48,7.0,11.0,9.0,7.0,0,Pathfinder Kingmaker,3
1452,6.0,4.0,4.0,-5.0,2.0,-4.0,23.0,70,13.0,15.0,13.0,9.0,0,Pathfinder Kingmaker,5
1468,5.0,4.0,5.0,7.0,5.0,5.0,33.0,200,23.0,23.0,20.0,25.0,0,Pathfinder Kingmaker,12
1471,5.0,9.0,6.0,5.0,6.0,7.0,42.0,280,31.0,29.0,34.0,29.0,0,Pathfinder Kingmaker,17
1472,6.0,8.0,6.0,3.0,6.0,6.0,39.0,340,30.0,26.0,32.0,28.0,0,Pathfinder Kingmaker,16
1473,8.0,4.0,6.0,-1.0,6.0,4.0,37.0,320,29.0,27.0,23.0,29.0,0,Pathfinder Kingmaker,15
1474,7.0,4.0,5.0,1.0,5.0,4.0,36.0,300,29.0,27.0,24.0,25.0,0,Pathfinder Kingmaker,14
1475,10.0,6.0,7.0,6.0,7.0,10.0,46.0,450,35.0,33.0,32.0,35.0,0,Pathfinder Kingmaker,20
1476,9.0,6.0,6.0,5.0,8.0,6.0,42.0,380,30.0,28.0,30.0,34.0,0,Pathfinder Kingmaker,18
1477,6.0,1.0,6.0,2.0,3.0,2.0,27.0,138,16.0,18.0,15.0,16.0,0,Pathfinder Kingmaker,8
1478,9.0,5.0,6.0,-2.0,5.0,4.0,41.0,380,32.0,32.0,30.0,30.0,0,Pathfinder Kingmaker,18
1470,6.0,10.0,7.0,8.0,6.0,10.0,47.0,374,35.0,36.0,39.0,33.0,0,Pathfinder Kingmaker,21
1451,4.0,2.0,2.0,0.0,4.0,2.0,26.0,160,18.0,16.0,14.0,18.0,0,Pathfinder Kingmaker,8
1450,7.0,2.0,5.0,-2.0,4.0,0.0,33.0,250,20.0,24.0,19.0,22.0,0,Pathfinder Kingmaker,12
1449,3.0,2.0,2.0,-4.0,2.0,0.0,16.0,16,4.0,6.0,8.0,4.0,0,Pathfinder Kingmaker,0
1423,9.0,1.0,6.0,0.0,6.0,0.0,37.0,370,28.0,28.0,25.0,30.0,1,Pathfinder Kingmaker,16
1425,0.0,3.0,3.0,1.0,0.0,2.0,15.0,20,5.0,6.0,8.0,5.0,0,Pathfinder Kingmaker,1
1426,8.0,5.0,7.0,-4.0,4.0,0.0,33.0,220,22.0,25.0,23.0,20.0,0,Pathfinder Kingmaker,12
1427,0.0,3.0,1.0,2.0,1.0,4.0,19.0,65,9.0,9.0,11.0,11.0,2,Pathfinder Kingmaker,4
1429,4.0,2.0,4.0,0.0,2.0,2.0,24.0,155,18.0,20.0,16.0,18.0,0,Pathfinder Kingmaker,9
1434,7.0,3.0,6.0,-4.0,4.0,3.0,28.0,120,19.0,21.0,16.0,19.0,0,Pathfinder Kingmaker,9
1435,4.0,6.0,3.0,3.0,3.0,6.0,28.0,135,16.0,12.0,17.0,14.0,1,Pathfinder Kingmaker,6
1436,3.0,2.0,2.0,1.0,5.0,4.0,34.0,240,24.0,24.0,20.0,26.0,0,Pathfinder Kingmaker,13
1437,-5.0,6.0,3.0,6.0,2.0,9.0,36.0,220,24.0,27.0,30.0,26.0,0,Pathfinder Kingmaker,16
1438,8.0,6.0,6.0,4.0,6.0,8.0,42.0,350,35.0,32.0,30.0,30.0,1,Pathfinder Kingmaker,18
1439,6.0,4.0,4.0,1.0,4.0,3.0,45.0,324,38.0,32.0,35.0,38.0,2,Pathfinder Kingmaker,20
1440,4.0,2.0,4.0,1.0,3.0,3.0,23.0,106,14.0,15.0,13.0,14.0,0,Pathfinder Kingmaker,6
1441,9.0,4.0,8.0,0.0,3.0,6.0,40.0,430,31.0,36.0,27.0,27.0,0,Pathfinder Kingmaker,18
1443,3.0,4.0,3.0,0.0,-1.0,3.0,23.0,110,16.0,15.0,16.0,9.0,0,Pathfinder Kingmaker,6
1444,5.0,9.0,5.0,10.0,6.0,8.0,47.0,325,35.0,34.0,39.0,35.0,1,Pathfinder Kingmaker,21
1445,1.0,2.0,1.0,0.0,0.0,0.0,14.0,8,2.0,5.0,6.0,2.0,0,Pathfinder Kingmaker,-1
1446,5.0,5.0,2.0,0.0,4.0,2.0,36.0,255,26.0,23.0,28.0,25.0,0,Pathfinder Kingmaker,14
1447,2.0,5.0,3.0,5.0,3.0,1.0,39.0,290,29.0,28.0,30.0,26.0,0,Pathfinder Kingmaker,16
1448,0.0,4.0,1.0,2.0,6.0,5.0,41.0,315,31.0,27.0,29.0,33.0,2,Pathfinder Kingmaker,17
1420,-5.0,6.0,0.0,2.0,5.0,2.0,28.0,65,18.0,12.0,18.0,16.0,0,Pathfinder Kingmaker,7
1357,4.0,2.0,2.0,0.0,4.0,0.0,25.0,140,15.0,16.0,13.0,17.0,0,Pathfinder Kingmaker,7
1356,3.0,2.0,1.0,0.0,1.0,2.0,15.0,22,6.0,8.0,7.0,6.0,0,Pathfinder Kingmaker,1
1355,8.0,5.0,4.0,2.0,5.0,4.0,39.0,295,29.0,30.0,27.0,27.0,0,Pathfinder Kingmaker,16
1273,4.0,5.0,2.0,3.0,0.0,5.0,39.0,300,26.0,28.0,31.0,26.0,1,Pathfinder Kingmaker,16
1274,5.0,3.0,2.0,0.0,4.0,1.0,22.0,75,13.0,11.0,12.0,15.0,0,Pathfinder Kingmaker,5
1275,0.0,2.0,0.0,6.0,2.0,4.0,28.0,140,18.0,15.0,15.0,21.0,0,Pathfinder Kingmaker,9
1276,-2.0,4.0,0.0,-5.0,0.0,-4.0,18.0,22,6.0,6.0,10.0,4.0,0,Pathfinder Kingmaker,2
1277,2.0,4.0,1.0,0.0,2.0,4.0,18.0,33,7.0,5.0,10.0,9.0,0,Pathfinder Kingmaker,2
1278,2.0,4.0,2.0,0.0,2.0,2.0,24.0,100,12.0,12.0,16.0,14.0,0,Pathfinder Kingmaker,6
1281,4.0,1.0,3.0,0.0,1.0,1.0,16.0,55,8.0,10.0,8.0,8.0,0,Pathfinder Kingmaker,3
1282,6.0,3.0,5.0,-3.0,0.0,3.0,21.0,58,8.0,13.0,11.0,6.0,0,Pathfinder Kingmaker,4
1271,4.0,2.0,3.0,-4.0,2.0,0.0,18.0,30,8.0,9.0,10.0,6.0,0,Pathfinder Kingmaker,2
1284,7.0,-1.0,4.0,-5.0,0.0,-2.0,21.0,160,8.0,16.0,9.0,12.0,0,Pathfinder Kingmaker,7
1286,5.0,3.0,2.0,0.0,2.0,3.0,19.0,70,10.0,12.0,11.0,10.0,0,Pathfinder Kingmaker,4
1287,0.0,7.0,6.0,4.0,5.0,8.0,38.0,230,28.0,27.0,30.0,26.0,1,Pathfinder Kingmaker,15
1288,3.0,4.0,3.0,-4.0,2.0,0.0,22.0,60,12.0,13.0,14.0,12.0,0,Pathfinder Kingmaker,6
1289,1.0,4.0,1.0,2.0,0.0,2.0,18.0,30,8.0,7.0,10.0,6.0,0,Pathfinder Kingmaker,2
1291,4.0,2.0,4.0,0.0,2.0,2.0,27.0,135,16.0,18.0,14.0,16.0,0,Pathfinder Kingmaker,8
1295,8.0,8.0,8.0,0.0,5.0,0.0,36.0,260,25.0,26.0,28.0,23.0,0,Pathfinder Kingmaker,14
1297,0.0,2.0,0.0,2.0,3.0,5.0,21.0,90,13.0,10.0,14.0,15.0,0,Pathfinder Kingmaker,5
1299,5.0,6.0,5.0,5.0,6.0,9.0,40.0,290,28.0,25.0,30.0,28.0,1,Pathfinder Kingmaker,16
1285,4.0,2.0,1.0,0.0,3.0,5.0,28.0,220,19.0,17.0,18.0,21.0,1,Pathfinder Kingmaker,10
1268,6.0,4.0,3.0,0.0,4.0,3.0,28.0,160,19.0,18.0,19.0,17.0,1,Pathfinder Kingmaker,9
1267,4.0,5.0,4.0,3.0,6.0,3.0,27.0,135,16.0,14.0,17.0,18.0,1,Pathfinder Kingmaker,8
1266,6.0,3.0,4.0,0.0,6.0,3.0,28.0,135,19.0,19.0,16.0,21.0,0,Pathfinder Kingmaker,9
1242,5.0,2.0,4.0,2.0,6.0,4.0,25.0,120,17.0,15.0,13.0,17.0,0,Pathfinder Kingmaker,7
1243,6.0,4.0,4.0,1.0,3.0,4.0,28.0,155,19.0,17.0,21.0,19.0,1,Pathfinder Kingmaker,9
1245,7.0,3.0,5.0,-3.0,5.0,0.0,29.0,195,21.0,21.0,17.0,19.0,0,Pathfinder Kingmaker,10
1246,8.0,6.0,5.0,0.0,6.0,5.0,36.0,245,26.0,23.0,28.0,26.0,0,Pathfinder Kingmaker,14
1247,4.0,4.0,2.0,1.0,4.0,0.0,25.0,115,17.0,15.0,17.0,15.0,0,Pathfinder Kingmaker,7
1248,3.0,5.0,3.0,0.0,0.0,4.0,30.0,175,16.0,19.0,21.0,16.0,0,Pathfinder Kingmaker,10
1251,-5.0,7.0,0.0,4.0,6.0,4.0,33.0,130,22.0,16.0,23.0,20.0,0,Pathfinder Kingmaker,10
1252,8.0,9.0,5.0,3.0,3.0,6.0,40.0,333,30.0,28.0,32.0,29.0,1,Pathfinder Kingmaker,17
1253,0.0,4.0,2.0,2.0,2.0,4.0,26.0,120,16.0,14.0,18.0,16.0,2,Pathfinder Kingmaker,8
1254,5.0,2.0,5.0,0.0,2.0,4.0,35.0,300,24.0,28.0,23.0,25.0,0,Pathfinder Kingmaker,14
1255,4.0,2.0,4.0,-2.0,0.0,1.0,15.0,40,6.0,12.0,5.0,3.0,0,Pathfinder Kingmaker,2
1256,9.0,12.0,7.0,9.0,7.0,12.0,54.0,500,39.0,36.0,39.0,41.0,0,Pathfinder Kingmaker,21
1259,9.0,6.0,8.0,0.0,3.0,4.0,42.0,330,29.0,34.0,30.0,27.0,0,Pathfinder Kingmaker,18
1260,8.0,2.0,4.0,-4.0,2.0,0.0,36.0,255,25.0,28.0,25.0,23.0,0,Pathfinder Kingmaker,14
1261,2.0,3.0,1.0,0.0,0.0,0.0,15.0,8,3.0,5.0,7.0,2.0,0,Pathfinder Kingmaker,-1
1262,3.0,3.0,2.0,0.0,4.0,0.0,22.0,75,13.0,11.0,12.0,15.0,0,Pathfinder Kingmaker,5
1263,7.0,2.0,5.0,0.0,5.0,3.0,27.0,210,21.0,21.0,16.0,19.0,0,Pathfinder Kingmaker,10
1264,6.0,3.0,4.0,-2.0,4.0,0.0,27.0,135,16.0,18.0,13.0,16.0,0,Pathfinder Kingmaker,8
1265,9.0,5.0,6.0,2.0,6.0,5.0,40.0,375,31.0,33.0,30.0,31.0,0,Pathfinder Kingmaker,17
1300,6.0,4.0,2.0,-5.0,3.0,0.0,27.0,165,16.0,17.0,21.0,14.0,0,Pathfinder Kingmaker,9
1301,6.0,2.0,4.0,-1.0,4.0,0.0,27.0,140,16.0,18.0,16.0,16.0,0,Pathfinder Kingmaker,8
1302,0.0,1.0,2.0,4.0,2.0,3.0,18.0,1,11.0,11.0,8.0,13.0,1,Pathfinder Kingmaker,6
1303,0.0,8.0,5.0,4.0,5.0,8.0,35.0,210,20.0,22.0,27.0,24.0,1,Pathfinder Kingmaker,13
1333,8.0,5.0,6.0,-3.0,5.0,-1.0,34.0,240,26.0,25.0,24.0,22.0,0,Pathfinder Kingmaker,13
1334,8.0,5.0,5.0,-3.0,5.0,0.0,30.0,275,25.0,27.0,25.0,23.0,0,Pathfinder Kingmaker,14
1335,-3.0,6.0,3.0,0.0,6.0,0.0,28.0,100,18.0,13.0,20.0,16.0,0,Pathfinder Kingmaker,8
1336,3.0,5.0,3.0,2.0,4.0,-1.0,33.0,220,22.0,21.0,25.0,22.0,0,Pathfinder Kingmaker,12
1337,8.0,5.0,6.0,4.0,5.0,5.0,47.0,450,37.0,38.0,35.0,35.0,1,Pathfinder Kingmaker,21
1338,0.0,4.0,2.0,5.0,3.0,2.0,33.0,210,25.0,21.0,23.0,22.0,0,Pathfinder Kingmaker,12
1339,10.0,5.0,6.0,0.0,7.0,6.0,43.0,400,33.0,34.0,31.0,35.0,0,Pathfinder Kingmaker,20
1340,8.0,6.0,6.0,0.0,5.0,4.0,34.0,235,22.0,25.0,21.0,20.0,0,Pathfinder Kingmaker,13
1341,10.0,6.0,9.0,2.0,8.0,6.0,44.0,440,36.0,37.0,32.0,34.0,0,Pathfinder Kingmaker,20
1342,6.0,4.0,4.0,2.0,4.0,4.0,25.0,92,15.0,15.0,15.0,17.0,0,Pathfinder Kingmaker,7
1343,3.0,5.0,2.0,1.0,3.0,4.0,36.0,260,23.0,23.0,27.0,24.0,0,Pathfinder Kingmaker,14
1344,-2.0,4.0,2.0,-4.0,4.0,2.0,29.0,60,21.0,17.0,21.0,19.0,0,Pathfinder Kingmaker,9
1345,-5.0,4.0,2.0,2.0,4.0,2.0,25.0,120,19.0,15.0,19.0,19.0,0,Pathfinder Kingmaker,9
1348,5.0,1.0,3.0,0.0,2.0,0.0,17.0,25,9.0,12.0,6.0,9.0,0,Pathfinder Kingmaker,3
1350,8.0,4.0,6.0,0.0,4.0,4.0,37.0,270,27.0,29.0,25.0,25.0,0,Pathfinder Kingmaker,15
1351,8.0,5.0,4.0,2.0,5.0,4.0,37.0,255,27.0,24.0,25.0,27.0,0,Pathfinder Kingmaker,14
1352,1.0,4.0,3.0,0.0,3.0,1.0,21.0,85,12.0,11.0,14.0,17.0,0,Pathfinder Kingmaker,5
1353,5.0,3.0,2.0,2.0,2.0,5.0,23.0,115,12.0,15.0,15.0,12.0,0,Pathfinder Kingmaker,6
1354,9.0,5.0,6.0,1.0,5.0,6.0,39.0,295,27.0,30.0,27.0,27.0,0,Pathfinder Kingmaker,16
1332,8.0,1.0,5.0,2.0,2.0,2.0,31.0,200,21.0,22.0,16.0,21.0,0,Pathfinder Kingmaker,12
1479,-5.0,3.0,2.0,5.0,2.0,4.0,28.0,150,19.0,19.0,20.0,19.0,0,Pathfinder Kingmaker,11
1331,8.0,4.0,5.0,-2.0,5.0,0.0,36.0,260,25.0,28.0,23.0,26.0,0,Pathfinder Kingmaker,14
1328,6.0,2.0,6.0,0.0,2.0,4.0,26.0,190,16.0,20.0,14.0,16.0,0,Pathfinder Kingmaker,8
1307,2.0,3.0,2.0,0.0,2.0,4.0,22.0,120,15.0,13.0,16.0,15.0,2,Pathfinder Kingmaker,7
1308,7.0,-5.0,7.0,-5.0,0.0,-5.0,20.0,300,15.0,26.0,11.0,16.0,0,Pathfinder Kingmaker,12
1309,10.0,6.0,9.0,2.0,8.0,8.0,44.0,460,36.0,37.0,32.0,34.0,0,Pathfinder Kingmaker,20
1310,6.0,6.0,9.0,4.0,6.0,8.0,42.0,350,30.0,35.0,30.0,28.0,0,Pathfinder Kingmaker,18
1311,-5.0,5.0,0.0,4.0,5.0,8.0,32.0,175,24.0,19.0,22.0,24.0,0,Pathfinder Kingmaker,13
1313,0.0,4.0,2.0,5.0,4.0,6.0,43.0,355,33.0,31.0,31.0,35.0,3,Pathfinder Kingmaker,19
1314,6.0,1.0,6.0,-3.0,3.0,2.0,26.0,188,18.0,21.0,14.0,18.0,0,Pathfinder Kingmaker,9
1315,4.0,6.0,4.0,0.0,5.0,2.0,36.0,315,27.0,25.0,28.0,25.0,0,Pathfinder Kingmaker,14
1316,6.0,9.0,5.0,2.0,6.0,2.0,39.0,222,28.0,27.0,31.0,28.0,0,Pathfinder Kingmaker,16
1317,8.0,4.0,6.0,4.0,4.0,6.0,36.0,225,26.0,28.0,24.0,24.0,1,Pathfinder Kingmaker,14
1318,-5.0,4.0,0.0,4.0,6.0,6.0,35.0,210,29.0,23.0,27.0,29.0,0,Pathfinder Kingmaker,15
1319,4.0,4.0,3.0,-5.0,2.0,-4.0,18.0,28,7.0,8.0,11.0,7.0,0,Pathfinder Kingmaker,2
1321,4.0,2.0,2.0,-4.0,2.0,-1.0,18.0,53,9.0,10.0,12.0,7.0,0,Pathfinder Kingmaker,4
1322,1.0,4.0,3.0,0.0,1.0,3.0,18.0,35,7.0,7.0,10.0,5.0,1,Pathfinder Kingmaker,2
1323,1.0,2.0,1.0,3.0,2.0,4.0,23.0,110,15.0,12.0,15.0,18.0,2,Pathfinder Kingmaker,7
1324,5.0,-1.0,4.0,-2.0,0.0,-2.0,17.0,28,5.0,11.0,6.0,5.0,0,Pathfinder Kingmaker,2
1325,3.0,2.0,4.0,0.0,0.0,4.0,21.0,95,11.0,13.0,13.0,11.0,0,Pathfinder Kingmaker,5
1326,5.0,4.0,3.0,1.0,-1.0,4.0,33.0,220,17.0,23.0,25.0,18.0,0,Pathfinder Kingmaker,12
1327,2.0,0.0,2.0,0.0,0.0,1.0,15.0,17,4.0,6.0,7.0,4.0,0,Pathfinder Kingmaker,0
1329,4.0,2.0,4.0,1.0,0.0,1.0,21.0,80,11.0,15.0,11.0,9.0,0,Pathfinder Kingmaker,5
1480,7.0,4.0,5.0,0.0,7.0,4.0,32.0,220,25.0,23.0,20.0,25.0,0,Pathfinder Kingmaker,12
1349,10.0,6.0,8.0,4.0,6.0,8.0,43.0,360,33.0,35.0,31.0,33.0,0,Pathfinder Kingmaker,19
666,2.0,4.0,0.0,1.0,6.0,4.0,23.0,87,15.0,13.0,13.0,17.0,2,Pathfinder Book of the Dead,7
697,-5.0,5.0,0.0,4.0,5.0,4.0,23.0,60,13.0,12.0,17.0,15.0,0,Pathfinder Book of the Dead,6
698,3.0,4.0,2.0,1.0,3.0,2.0,24.0,112,16.0,13.0,17.0,14.0,0,Pathfinder Book of the Dead,7
699,4.0,3.0,3.0,-1.0,1.0,0.0,17.0,55,5.0,7.0,9.0,7.0,0,Pathfinder Book of the Dead,2
700,5.0,3.0,2.0,5.0,4.0,6.0,26.0,130,16.0,16.0,13.0,18.0,0,Pathfinder Book of the Dead,8
701,3.0,1.0,4.0,3.0,2.0,5.0,20.0,65,10.0,12.0,11.0,10.0,0,Pathfinder Book of the Dead,4
702,5.0,7.0,4.0,0.0,5.0,3.0,31.0,190,21.0,18.0,21.0,21.0,3,Pathfinder Book of the Dead,10
703,5.0,2.0,4.0,-1.0,2.0,0.0,22.0,76,13.0,15.0,9.0,13.0,0,Pathfinder Book of the Dead,5
704,2.0,4.0,3.0,0.0,1.0,1.0,20.0,56,10.0,10.0,14.0,10.0,0,Pathfinder Book of the Dead,4
705,3.0,4.0,3.0,1.0,1.0,3.0,18.0,32,7.0,7.0,10.0,7.0,0,Pathfinder Book of the Dead,2
706,-5.0,10.0,10.0,7.0,7.0,6.0,45.0,330,33.0,34.0,36.0,31.0,0,Pathfinder Book of the Dead,20
707,4.0,5.0,3.0,1.0,2.0,4.0,24.0,95,12.0,13.0,17.0,12.0,0,Pathfinder Book of the Dead,6
710,7.0,4.0,6.0,4.0,8.0,4.0,36.0,190,28.0,26.0,24.0,28.0,3,Pathfinder Book of the Dead,14
696,2.0,6.0,0.0,8.0,4.0,6.0,35.0,250,25.0,21.0,27.0,27.0,0,Pathfinder Book of the Dead,15
711,1.0,0.0,2.0,-4.0,3.0,-2.0,15.0,17,7.0,8.0,4.0,7.0,0,Pathfinder Book of the Dead,0
713,11.0,6.0,7.0,8.0,8.0,7.0,45.0,510,36.0,35.0,32.0,36.0,0,Pathfinder Book of the Dead,20
714,6.0,4.0,3.0,0.0,4.0,7.0,36.0,250,26.0,25.0,22.0,28.0,0,Pathfinder Book of the Dead,14
715,2.0,7.0,5.0,2.0,5.0,6.0,32.0,180,21.0,21.0,23.0,23.0,0,Pathfinder Book of the Dead,12
716,4.0,8.0,4.0,6.0,6.0,9.0,36.0,298,28.0,26.0,30.0,28.0,0,Pathfinder Book of the Dead,16
717,5.0,7.0,4.0,0.0,3.0,2.0,29.0,155,19.0,19.0,21.0,15.0,0,Pathfinder Book of the Dead,10
720,-5.0,6.0,2.0,1.0,5.0,6.0,24.0,100,17.0,12.0,18.0,19.0,0,Pathfinder Book of the Dead,8
721,0.0,4.0,2.0,-4.0,1.0,-1.0,16.0,6,5.0,4.0,8.0,3.0,0,Pathfinder Book of the Dead,-1
722,4.0,3.0,1.0,0.0,4.0,2.0,19.0,63,13.0,9.0,9.0,12.0,2,Pathfinder Book of the Dead,5
723,5.0,3.0,4.0,3.0,7.0,3.0,31.0,130,22.0,21.0,18.0,24.0,0,Pathfinder Book of the Dead,11
724,4.0,5.0,2.0,1.0,3.0,3.0,28.0,155,18.0,17.0,20.0,16.0,0,Pathfinder Book of the Dead,9
725,9.0,5.0,9.0,7.0,7.0,4.0,41.0,417,31.0,35.0,27.0,33.0,0,Pathfinder Book of the Dead,18
726,3.0,4.0,0.0,6.0,3.0,2.0,26.0,150,17.0,14.0,16.0,19.0,0,Pathfinder Book of the Dead,8
712,5.0,4.0,5.0,6.0,8.0,6.0,33.0,250,23.0,22.0,21.0,25.0,0,Pathfinder Book of the Dead,13
