,str,dex,con,int,wis,cha,ac,hp,fortitude,reflex,will,num_immunities,land_speed,fly,spells_nr_lvl_1,spells_nr_lvl_2,spells_nr_lvl_3,spells_nr_lvl_4,spells_nr_lvl_5,spells_nr_lvl_6,spells_nr_lvl_7,spells_nr_lvl_8,spells_nr_lvl_9,melee_max_bonus,avg_melee_dmg,ranged_max_bonus,avg_ranged_dmg,max_spell_lvl,spell_dc,spell_attack,book,level
1374,10.0,6.0,6.0,0.0,6.0,4.0,43.0,295,33.0,35.0,31.0,2,30.0,100,0,0,0,0,0,0,0,0,0,37,32.0,0,0.0,0,0,0,Pathfinder Kingmaker,19
1375,0.0,6.0,4.0,-4.0,6.0,0.0,27.0,150,7.0,12.0,9.0,2,10.0,40,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Kingmaker,9
1376,4.0,5.0,4.0,2.0,4.0,7.0,33.0,215,19.0,24.0,23.0,0,25.0,0,4,6,4,4,3,4,0,0,0,24,24.5,0,0.0,6,32,20,Pathfinder Kingmaker,12
1377,10.0,6.0,6.0,5.0,8.0,5.0,46.0,380,34.0,34.0,38.0,0,20.0,80,0,0,0,1,0,1,0,0,1,38,36.0,0,0.0,10,42,34,Pathfinder Kingmaker,20
1378,3.0,2.0,2.0,0.0,4.0,3.0,26.0,80,17.0,15.0,19.0,0,25.0,0,5,3,3,2,2,0,0,0,0,16,8.5,16,12.0,5,28,19,Pathfinder Kingmaker,9
1379,10.0,6.0,8.0,9.0,6.0,9.0,43.0,445,35.0,31.0,33.0,1,30.0,50,1,1,1,2,3,3,0,0,0,37,36.0,0,0.0,6,41,33,Pathfinder Kingmaker,19
1380,1.0,4.0,1.0,1.0,0.0,2.0,16.0,20,6.0,9.0,5.0,0,25.0,0,0,0,0,0,0,0,0,0,0,9,3.5,9,3.5,0,0,0,Pathfinder Kingmaker,1
1383,4.0,2.0,3.0,0.0,1.0,2.0,23.0,105,15.0,14.0,11.0,0,25.0,0,0,0,0,0,0,0,0,0,0,16,13.5,16,11.5,0,0,0,Pathfinder Kingmaker,6
1384,1.0,0.0,2.0,0.0,5.0,4.0,17.0,75,10.0,6.0,15.0,0,20.0,0,5,2,1,0,0,0,0,0,0,12,6.5,0,0.0,3,23,21,Pathfinder Kingmaker,5
1416,4.0,2.0,4.0,1.0,0.0,3.0,28.0,160,21.0,17.0,15.0,0,20.0,0,0,0,0,0,0,0,0,0,0,20,22.5,18,17.0,0,0,0,Pathfinder Kingmaker,9
1359,4.0,2.0,2.0,0.0,4.0,0.0,25.0,140,16.0,13.0,17.0,0,35.0,0,0,0,0,0,0,0,0,0,0,17,22.0,0,0.0,0,0,0,Pathfinder Kingmaker,7
1417,2.0,2.0,4.0,1.0,5.0,2.0,31.0,250,22.0,20.0,25.0,0,25.0,0,5,4,3,3,2,2,0,0,0,24,14.5,24,14.5,6,36,26,Pathfinder Kingmaker,12
1422,-5.0,6.0,0.0,2.0,5.0,2.0,28.0,65,12.0,18.0,16.0,0,0.0,50,1,0,1,2,0,0,0,0,0,19,15.0,0,0.0,4,25,17,Pathfinder Kingmaker,7
1454,6.0,4.0,4.0,-5.0,2.0,-4.0,23.0,70,15.0,13.0,9.0,0,30.0,0,0,0,0,0,0,0,0,0,0,15,17.0,0,0.0,0,0,0,Pathfinder Kingmaker,5
1456,9.0,5.0,6.0,0.0,6.0,0.0,41.0,400,17.0,8.0,9.0,1,15.0,0,0,0,0,0,0,0,0,0,0,35,39.5,0,0.0,0,0,0,Pathfinder Kingmaker,18
1459,8.0,4.0,8.0,0.0,6.0,4.0,35.0,340,29.0,23.0,27.0,0,30.0,0,0,0,0,0,0,0,0,0,0,31,34.0,0,0.0,0,0,0,Pathfinder Kingmaker,15
1460,7.0,5.0,5.0,3.0,5.0,5.0,31.0,220,22.0,20.0,22.0,0,25.0,0,4,6,3,3,5,2,0,1,0,25,27.5,0,0.0,8,30,22,Pathfinder Kingmaker,11
1464,-2.0,5.0,7.0,-5.0,5.0,-4.0,32.0,155,25.0,23.0,19.0,2,30.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Kingmaker,12
1465,10.0,7.0,6.0,6.0,6.0,8.0,44.0,375,31.0,36.0,33.0,4,40.0,120,0,0,0,4,2,1,1,0,0,36,34.0,0,0.0,7,41,33,Pathfinder Kingmaker,19
1466,5.0,2.0,4.0,0.0,4.0,3.0,35.0,350,27.0,23.0,27.0,0,35.0,0,0,0,0,0,0,0,0,0,0,30,26.0,0,0.0,0,0,0,Pathfinder Kingmaker,15
1467,4.0,4.0,3.0,3.0,6.0,4.0,26.0,135,13.0,16.0,18.0,0,25.0,0,5,4,2,1,0,0,0,0,0,19,14.0,0,0.0,4,23,15,Pathfinder Kingmaker,8
1453,4.0,2.0,2.0,0.0,4.0,2.0,26.0,160,16.0,14.0,18.0,0,30.0,0,0,0,0,0,0,0,0,0,0,21,11.5,21,11.5,0,0,0,Pathfinder Kingmaker,8
1469,4.0,2.0,2.0,0.0,0.0,2.0,18.0,48,11.0,9.0,7.0,0,25.0,0,0,0,0,0,0,0,0,0,0,11,10.5,0,0.0,0,0,0,Pathfinder Kingmaker,3
1472,6.0,10.0,7.0,8.0,6.0,10.0,47.0,374,36.0,39.0,33.0,0,30.0,0,1,1,0,2,0,1,1,2,1,39,37.0,0,0.0,10,44,36,Pathfinder Kingmaker,21
1473,5.0,9.0,6.0,5.0,6.0,7.0,42.0,280,29.0,34.0,29.0,5,30.0,60,0,0,0,0,2,0,3,1,0,35,25.5,0,0.0,8,38,30,Pathfinder Kingmaker,17
1474,6.0,8.0,6.0,3.0,6.0,6.0,39.0,340,26.0,32.0,28.0,0,25.0,0,0,1,1,1,2,3,2,1,0,30,31.5,32,29.0,8,37,29,Pathfinder Kingmaker,16
1475,8.0,4.0,6.0,-1.0,6.0,4.0,37.0,320,27.0,23.0,29.0,0,80.0,80,0,1,0,2,1,1,0,0,0,30,32.0,0,0.0,6,36,28,Pathfinder Kingmaker,15
1476,7.0,4.0,5.0,1.0,5.0,4.0,36.0,300,27.0,24.0,25.0,0,50.0,0,0,3,1,1,0,1,0,0,0,29,27.5,0,0.0,6,34,26,Pathfinder Kingmaker,14
1477,10.0,6.0,7.0,6.0,7.0,10.0,46.0,450,33.0,32.0,35.0,0,40.0,0,1,2,0,3,0,3,2,2,0,38,38.0,0,0.0,10,40,32,Pathfinder Kingmaker,20
1478,9.0,6.0,6.0,5.0,8.0,6.0,42.0,380,28.0,30.0,34.0,0,40.0,0,4,1,0,2,0,2,2,2,0,35,34.5,34,0.0,8,40,32,Pathfinder Kingmaker,18
1479,6.0,1.0,6.0,2.0,3.0,2.0,27.0,138,18.0,15.0,16.0,0,40.0,0,0,0,0,0,0,0,0,0,0,20,20.0,0,0.0,0,0,0,Pathfinder Kingmaker,8
1470,5.0,4.0,5.0,7.0,5.0,5.0,33.0,200,23.0,20.0,25.0,5,25.0,0,6,7,5,6,3,3,1,1,0,24,18.0,0,0.0,8,35,27,Pathfinder Kingmaker,12
1452,7.0,2.0,5.0,-2.0,4.0,0.0,33.0,250,24.0,19.0,22.0,0,35.0,0,0,0,0,0,0,0,0,0,0,27,29.5,23,22.0,0,0,0,Pathfinder Kingmaker,12
1451,3.0,2.0,2.0,-4.0,2.0,0.0,16.0,16,6.0,8.0,4.0,0,25.0,0,0,0,0,0,0,0,0,0,0,7,5.5,0,0.0,0,0,0,Pathfinder Kingmaker,0
1450,0.0,4.0,1.0,2.0,6.0,5.0,41.0,315,27.0,29.0,33.0,0,25.0,0,6,4,4,3,3,3,2,0,2,31,13.5,0,0.0,9,38,30,Pathfinder Kingmaker,17
1423,2.0,3.0,2.0,0.0,0.0,0.0,15.0,16,6.0,7.0,4.0,0,25.0,0,0,0,0,0,0,0,0,0,0,6,5.5,7,5.5,0,0,0,Pathfinder Kingmaker,0
1425,9.0,1.0,6.0,0.0,6.0,0.0,37.0,370,28.0,25.0,30.0,1,40.0,0,0,0,1,0,0,1,0,0,0,33,31.5,0,0.0,6,30,22,Pathfinder Kingmaker,16
1427,0.0,3.0,3.0,1.0,0.0,2.0,15.0,20,6.0,8.0,5.0,0,25.0,0,0,0,0,0,0,0,0,0,0,6,3.5,0,0.0,0,0,0,Pathfinder Kingmaker,1
1428,8.0,5.0,7.0,-4.0,4.0,0.0,33.0,220,25.0,23.0,20.0,0,20.0,60,0,0,0,0,0,0,0,0,0,26,21.0,0,0.0,0,0,0,Pathfinder Kingmaker,12
1429,0.0,3.0,1.0,2.0,1.0,4.0,19.0,65,9.0,11.0,11.0,0,25.0,0,7,2,0,0,0,0,0,0,0,15,4.5,0,0.0,2,20,12,Pathfinder Kingmaker,4
1431,4.0,2.0,4.0,0.0,2.0,2.0,24.0,155,20.0,16.0,18.0,0,25.0,0,0,0,0,0,0,0,0,0,0,18,12.5,0,0.0,0,0,0,Pathfinder Kingmaker,9
1436,7.0,3.0,6.0,-4.0,4.0,3.0,28.0,120,21.0,16.0,19.0,0,30.0,0,0,0,0,0,0,0,0,0,0,21,23.0,0,0.0,0,0,0,Pathfinder Kingmaker,9
1437,4.0,6.0,3.0,3.0,3.0,6.0,28.0,135,12.0,17.0,14.0,0,25.0,0,0,1,1,1,0,0,0,0,0,20,17.5,0,0.0,4,26,18,Pathfinder Kingmaker,8
1438,3.0,2.0,2.0,1.0,5.0,4.0,34.0,240,24.0,20.0,26.0,1,25.0,0,5,4,3,2,3,3,1,0,0,25,28.5,0,0.0,7,34,24,Pathfinder Kingmaker,13
1439,-5.0,6.0,3.0,6.0,2.0,9.0,36.0,220,27.0,30.0,26.0,6,0.0,25,1,1,2,2,1,1,0,0,0,27,21.0,0,0.0,6,34,28,Pathfinder Kingmaker,16
1440,8.0,6.0,6.0,4.0,6.0,8.0,42.0,350,32.0,30.0,30.0,0,35.0,0,3,0,0,1,1,0,0,0,0,34,35.5,34,30.0,5,37,29,Pathfinder Kingmaker,18
1441,6.0,4.0,4.0,1.0,4.0,3.0,45.0,324,32.0,35.0,38.0,0,40.0,0,8,5,2,6,3,2,3,0,2,37,36.0,0,0.0,9,44,38,Pathfinder Kingmaker,20
1442,4.0,2.0,4.0,1.0,3.0,3.0,23.0,106,15.0,13.0,14.0,5,25.0,0,0,0,0,0,0,0,0,0,0,18,11.5,0,0.0,0,0,0,Pathfinder Kingmaker,6
1443,9.0,4.0,8.0,0.0,3.0,6.0,40.0,430,36.0,27.0,27.0,0,30.0,0,0,0,0,0,0,0,0,0,0,35,30.5,0,0.0,0,0,0,Pathfinder Kingmaker,18
1445,3.0,4.0,3.0,0.0,-1.0,3.0,23.0,110,15.0,16.0,9.0,0,20.0,0,0,0,0,0,0,0,0,0,0,15,9.5,17,9.5,0,0,0,Pathfinder Kingmaker,6
1446,5.0,9.0,5.0,10.0,6.0,8.0,47.0,325,34.0,39.0,35.0,6,30.0,0,8,6,5,6,3,5,3,1,1,36,39.0,0,0.0,10,44,36,Pathfinder Kingmaker,21
1447,1.0,2.0,1.0,0.0,0.0,0.0,14.0,8,5.0,6.0,2.0,0,25.0,0,0,0,0,0,0,0,0,0,0,5,3.5,6,3.5,0,0,0,Pathfinder Kingmaker,-1
1448,5.0,5.0,2.0,0.0,4.0,2.0,36.0,255,23.0,28.0,25.0,0,40.0,0,0,0,0,0,0,0,0,0,0,29,34.5,28,24.0,0,0,0,Pathfinder Kingmaker,14
1449,2.0,5.0,3.0,5.0,3.0,1.0,39.0,290,28.0,30.0,26.0,0,25.0,0,0,0,0,0,0,0,0,0,0,31,15.5,31,14.5,0,0,0,Pathfinder Kingmaker,16
1418,4.0,4.0,1.0,-1.0,2.0,1.0,28.0,99,18.0,16.0,16.0,6,25.0,0,0,0,0,0,0,0,0,0,0,20,23.5,18,14.5,0,0,0,Pathfinder Kingmaker,8
1358,3.0,2.0,1.0,0.0,1.0,2.0,15.0,22,8.0,7.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,8,6.5,7,4.5,0,0,0,Pathfinder Kingmaker,1
1357,8.0,5.0,4.0,2.0,5.0,4.0,39.0,295,30.0,27.0,27.0,6,25.0,0,0,0,0,0,0,0,0,0,0,30,40.0,0,0.0,0,0,0,Pathfinder Kingmaker,16
1355,5.0,3.0,2.0,2.0,2.0,5.0,23.0,115,15.0,15.0,12.0,0,25.0,0,0,0,0,0,0,0,0,0,0,18,16.0,18,19.0,0,0,0,Pathfinder Kingmaker,6
1273,4.0,2.0,3.0,-4.0,2.0,0.0,18.0,30,9.0,10.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,10,9.5,0,0.0,0,0,0,Pathfinder Kingmaker,2
1275,4.0,5.0,2.0,3.0,0.0,5.0,39.0,300,28.0,31.0,26.0,0,30.0,0,7,6,2,3,3,2,2,3,0,30,28.5,32,25.5,8,37,30,Pathfinder Kingmaker,16
1276,5.0,3.0,2.0,0.0,4.0,1.0,22.0,75,11.0,12.0,15.0,0,40.0,0,0,0,0,0,0,0,0,0,0,14,11.5,12,11.5,0,0,0,Pathfinder Kingmaker,5
1277,0.0,2.0,0.0,6.0,2.0,4.0,28.0,140,15.0,15.0,21.0,5,25.0,0,5,5,4,1,1,0,0,0,0,18,18.5,0,0.0,5,29,21,Pathfinder Kingmaker,9
1278,-2.0,4.0,0.0,-5.0,0.0,-4.0,18.0,22,6.0,10.0,4.0,2,20.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,Pathfinder Kingmaker,2
1279,2.0,4.0,1.0,0.0,2.0,4.0,18.0,33,5.0,10.0,9.0,0,25.0,0,0,0,0,0,0,0,0,0,0,8,7.5,10,7.5,0,0,0,Pathfinder Kingmaker,2
1280,2.0,4.0,2.0,0.0,2.0,2.0,24.0,100,12.0,16.0,14.0,0,25.0,0,0,0,0,0,0,0,0,0,0,17,8.5,16,7.5,0,0,0,Pathfinder Kingmaker,6
1283,4.0,1.0,3.0,0.0,1.0,1.0,16.0,55,10.0,8.0,8.0,0,25.0,0,0,0,0,0,0,0,0,0,0,11,12.5,8,6.5,0,0,0,Pathfinder Kingmaker,3
1270,6.0,4.0,3.0,0.0,4.0,3.0,28.0,160,18.0,19.0,17.0,0,20.0,0,0,0,0,0,0,0,0,0,0,22,18.0,22,18.0,0,0,0,Pathfinder Kingmaker,9
1284,6.0,3.0,5.0,-3.0,0.0,3.0,21.0,58,13.0,11.0,6.0,0,35.0,0,0,0,0,0,0,0,0,0,0,14,13.0,0,0.0,0,0,0,Pathfinder Kingmaker,4
1287,4.0,2.0,1.0,0.0,3.0,5.0,28.0,220,17.0,18.0,21.0,0,25.0,0,9,6,3,5,4,0,0,0,0,23,19.0,0,0.0,5,29,21,Pathfinder Kingmaker,10
1288,5.0,3.0,2.0,0.0,2.0,3.0,19.0,70,12.0,11.0,10.0,0,25.0,0,0,1,0,1,0,0,0,0,0,14,12.5,0,0.0,4,21,13,Pathfinder Kingmaker,4
1289,0.0,7.0,6.0,4.0,5.0,8.0,38.0,230,27.0,30.0,26.0,0,30.0,0,5,4,3,3,1,3,1,0,0,30,30.5,0,0.0,7,36,28,Pathfinder Kingmaker,15
1290,3.0,4.0,3.0,-4.0,2.0,0.0,22.0,60,13.0,14.0,12.0,0,40.0,0,0,0,0,0,0,0,0,0,0,12,12.0,0,0.0,0,0,0,Pathfinder Kingmaker,6
1291,1.0,4.0,1.0,2.0,0.0,2.0,18.0,30,7.0,10.0,6.0,0,25.0,0,0,0,0,0,0,0,0,0,0,12,6.5,11,3.5,0,0,0,Pathfinder Kingmaker,2
1293,4.0,2.0,4.0,0.0,2.0,2.0,27.0,135,18.0,14.0,16.0,0,25.0,0,0,0,0,0,0,0,0,0,0,19,17.0,17,12.5,0,0,0,Pathfinder Kingmaker,8
1297,8.0,8.0,8.0,0.0,5.0,0.0,36.0,260,26.0,28.0,23.0,4,35.0,0,0,0,0,0,0,0,0,0,0,30,35.5,0,0.0,0,0,0,Pathfinder Kingmaker,14
1299,0.0,2.0,0.0,2.0,3.0,5.0,21.0,90,10.0,14.0,15.0,0,20.0,0,5,6,3,0,0,0,0,0,0,13,4.5,0,0.0,3,24,17,Pathfinder Kingmaker,5
1286,7.0,-1.0,4.0,-5.0,0.0,-2.0,21.0,160,16.0,9.0,12.0,5,25.0,0,0,0,0,0,0,0,0,0,0,17,20.0,0,0.0,0,0,0,Pathfinder Kingmaker,7
1269,4.0,5.0,4.0,3.0,6.0,3.0,27.0,135,14.0,17.0,18.0,0,20.0,0,4,3,2,1,0,0,0,0,0,18,15.0,17,1.0,4,26,18,Pathfinder Kingmaker,8
1268,6.0,3.0,4.0,0.0,6.0,3.0,28.0,135,19.0,16.0,21.0,5,20.0,0,1,0,1,1,0,0,0,0,0,19,19.0,0,0.0,4,28,20,Pathfinder Kingmaker,9
1267,9.0,5.0,6.0,2.0,6.0,5.0,40.0,375,33.0,30.0,31.0,0,40.0,0,0,0,0,0,0,0,0,0,0,34,30.5,34,24.5,0,0,0,Pathfinder Kingmaker,17
1244,5.0,2.0,4.0,2.0,6.0,4.0,25.0,120,15.0,13.0,17.0,0,40.0,0,4,3,1,1,0,0,0,0,0,17,11.5,14,11.5,4,25,17,Pathfinder Kingmaker,7
1245,6.0,4.0,4.0,1.0,3.0,4.0,28.0,155,17.0,21.0,19.0,0,20.0,0,0,1,2,2,0,0,0,0,0,16,11.5,21,19.0,4,25,15,Pathfinder Kingmaker,9
1246,4.0,1.0,3.0,0.0,0.0,2.0,18.0,53,11.0,8.0,7.0,0,25.0,0,0,0,0,0,0,0,0,0,0,12,10.5,8,6.5,0,0,0,Pathfinder Kingmaker,3
1247,7.0,3.0,5.0,-3.0,5.0,0.0,29.0,195,21.0,17.0,19.0,0,25.0,0,0,0,0,0,0,0,0,0,0,23,20.0,0,0.0,0,0,0,Pathfinder Kingmaker,10
1248,8.0,6.0,5.0,0.0,6.0,5.0,36.0,245,23.0,28.0,26.0,0,25.0,0,0,0,0,0,0,0,0,0,0,28,23.5,0,0.0,0,0,0,Pathfinder Kingmaker,14
1249,4.0,4.0,2.0,1.0,4.0,0.0,25.0,115,15.0,17.0,15.0,0,25.0,0,0,0,0,0,0,0,0,0,0,18,13.5,18,12.5,0,0,0,Pathfinder Kingmaker,7
1250,3.0,5.0,3.0,0.0,0.0,4.0,30.0,175,19.0,21.0,16.0,0,25.0,0,0,0,0,0,0,0,0,0,0,23,16.0,22,12.5,0,0,0,Pathfinder Kingmaker,10
1253,-5.0,7.0,0.0,4.0,6.0,4.0,33.0,130,16.0,23.0,20.0,0,0.0,50,0,0,0,0,0,0,0,0,0,23,23.0,0,0.0,0,0,0,Pathfinder Kingmaker,10
1254,8.0,9.0,5.0,3.0,3.0,6.0,40.0,333,28.0,32.0,29.0,0,0.0,75,1,1,0,2,0,1,2,1,1,33,32.0,0,0.0,9,38,30,Pathfinder Kingmaker,17
1255,0.0,4.0,2.0,2.0,2.0,4.0,26.0,120,14.0,18.0,16.0,0,25.0,0,5,5,2,2,0,0,0,0,0,19,4.5,19,4.5,4,26,18,Pathfinder Kingmaker,8
1256,5.0,2.0,5.0,0.0,2.0,4.0,35.0,300,28.0,23.0,25.0,0,30.0,0,0,0,0,0,0,0,0,0,0,28,29.5,0,0.0,0,0,0,Pathfinder Kingmaker,14
1257,4.0,2.0,4.0,-2.0,0.0,1.0,15.0,40,12.0,5.0,3.0,0,25.0,0,0,0,0,0,0,0,0,0,0,10,9.5,10,9.5,0,0,0,Pathfinder Kingmaker,2
1258,9.0,12.0,7.0,9.0,7.0,12.0,54.0,500,36.0,39.0,41.0,9,0.0,60,1,1,2,1,2,4,3,3,3,0,0.0,0,0.0,10,48,40,Pathfinder Kingmaker,21
1261,9.0,6.0,8.0,0.0,3.0,4.0,42.0,330,34.0,30.0,27.0,2,30.0,100,0,0,0,0,0,0,0,0,0,35,33.5,0,0.0,0,0,0,Pathfinder Kingmaker,18
1262,8.0,2.0,4.0,-4.0,2.0,0.0,36.0,255,28.0,25.0,23.0,0,30.0,0,0,0,0,0,0,0,0,0,0,29,27.5,0,0.0,0,0,0,Pathfinder Kingmaker,14
1263,2.0,3.0,1.0,0.0,0.0,0.0,15.0,8,5.0,7.0,2.0,0,25.0,0,0,0,0,0,0,0,0,0,0,0,0.0,6,3.5,0,0,0,Pathfinder Kingmaker,-1
