book,date
Pathfinder Lost Omens: Character Guide, 2019-10-29
Pathfinder Lost Omens: The Grand Bazaar, 2021-10-26
Pathfinder One-Shot #2: Dinner at Lionlodge, 2021-05-30
Pathfinder Adventure: A Few Flowers More, 2023-06-24
Pathfinder Adventure: A Fistful of Flowers, 2022-06-25
Pathfinder One-Shot #4: Mark of the Mantis, 2022-02-23
Pathfinder One-Shot #1: Sundered Waves, 2021-03-06
Pathfinder Adventure: Little Trouble in Big Absalom, 2020-07-25
Pathfinder #179: Cradle of Quartz, 2022-05-25
Pathfinder #180: The Smoking Gun, 2022-06-29
Pathfinder #178: Punks in a Powder Keg, 2022-04-27
Pathfinder Dark Archive, 2022-07-27
Pathfinder Bounty #9: Fishing in Anthusis, 2021-04-28
Pathfinder Bounty #5: Witch's Winter Holiday, 2020-12-16
Pathfinder Bounty #10: Hillcross Roundup, 2021-05-28
Pathfinder Bounty #3: Shadows and Scarecrows, 2020-10-29
Pathfinder Bounty #1: The Whitefang Wyrm, 2020-04-26
Pathfinder Bounty #17: Sodden Stories, 2021-12-15
Pathfinder Bounty #16: Boom Town Betrayal, 2021-11-17
Pathfinder Bounty #14: The Blackwood Truce, 2021-09-29
Pathfinder Bounty #20: Burden in Bloodcove, 2022-08-31
Pathfinder Bounty #18: From Family Lost, 2022-02-23
Pathfinder Bounty #15: Treasure off the Coast, 2021-10-24
Pathfinder Bounty #21: Against the Unliving, 2022-12-14
Pathfinder #175: Broken Tusk Moon, 2022-01-26
Pathfinder #177: Burning Tundra, 2022-03-30
Pathfinder #176: Lost Mammoth Valley, 2022-02-23
Pathfinder Adventure: Shadows at Sundown, 2022-05-25
Pathfinder #171: Hurricane's Howl, 2021-10-13
Pathfinder #174: Shadows of the Ancients, 2022-03-30
Pathfinder #169: Kindled Magic, 2021-08-05
Pathfinder #173: Doorway to the Red Star, 2021-11-10
Pathfinder #172: Secrets of the Temple-City, 2021-10-13
Pathfinder #170: Spoken on the Song Wind, 2021-09-01
Pathfinder Adventure: The Slithering, 2020-07-30
Pathfinder Lost Omens: Travel Guide, 2022-10-31
Pathfinder Adventure: Troubles in Otari, 2020-12-09
